TRX_TYPE	TX_DESC	CHANNEL	BILLER_TARGET	JENIS_TRX	mapping_sendiri		
TRF-BILL_P	VCR TLKOMSEL:500000	ATM	TELKOMSEL	PURCHASE			
TRF-BILL_P	FREN:200000	ATM	SMARTFREN	PURCHASE			
TRF-BILL_P	ATMAJAYA YOGYAKARTA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	CITILINK TOPUP AGENT	ATM	CITILINK TRAVEL AGENT	PURCHASE			
TRF-BILL_P	TLKM BANJARMASIN	ATM	TELKOM	PAYMENT			
TRF-BILL_P	TLKM BOGOR	ATM	TELKOM	PAYMENT			
TRF-BILL_P	TLKM MAKASAR	ATM	TELKOM	PAYMENT			
TRF-BILL_P	BAZNAS KURBAN	ATM	QURBAN	PAYMENT			
TRF-BILL_P	UIN R FATAH	ATM	?	?			
TRF-BILL_P	PRUD CTK KRT	ATM	PRUDENTIAL	PAYMENT			
TRF-BILL_P	I-SAKU	ATM	ISAKU	PURCHASE			
TRF-BILL_P	ISTN JAKARTA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	H2H UNSRI	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	BEASSW PPSDMS INFAQ	ATM	INFAQ	PAYMENT			
TRF-BILL_P	PRUD TOPUP	ATM	PRUDENTIAL	PAYMENT			
TRF-BILL_P	SAMSATKALTIM	ATM	SAMSAT KALTIM	PAYMENT			
TRF-BILL_P	UNTAD H2H	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PDAM DJI	ATM	DJI	PAYMENT			
TRF-BILL_P	3 POST PAID	ATM	THREE	PAYMENT			
TRF-BILL_P	SULUTENGGO	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	SPC H2H UNPAR	ATM	?	?			
TRF-BILL_P	PLN ACEH	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	INFAQ	ATM	INFAQ	PAYMENT			
TRF-BILL_P	SPC H2H UNJ	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PEMLHN POLIS	ATM	BNI LIFE	PAYMENT			
TRF-BILL_P	PP4 TERNATE	ATM	PP4 TERNATE	PAYMENT			
TRF-BILL_P	STANCHAR KTA	ATM	STANDARD CHARTERED	PAYMENT			
TRF-BILL_P	TLKM JAKBAR	ATM	TELKOM	PAYMENT			
TRF-BILL_P	3 PREPAID:300000	ATM	THREE	PURCHASE			
TRF-BILL_P	SWADHARMA BSF	ATM		OTHERS			
TRF-BILL_P	UNILA	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	3 PREPAID:150000	ATM	THREE	PURCHASE			
TRF-BILL_P	ASTRA AF	ATM	ASTRA CREDIT COMPANY	PAYMENT			
TRF-BILL_P	SAMSAT DKI	ATM	SAMSAT DKI	PAYMENT			
TRF-BILL_P	PP3 BJMASIN	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PDAM	ATM	MITRACOM	PAYMENT			
TRF-BILL_P	PBB DKI TIMUR	ATM	PBB DKI TIMUR	PAYMENT			
TRF-BILL_P	TLKM TASIKML	ATM	TELKOM	PAYMENT			
TRF-BILL_P	MPN G2 IDR	ATM	MPN G2 IDR	PAYMENT			
TRF-BILL_P	PBB JEMBER	ATM	?	?			
TRF-BILL_P	PERMATABANK CR CARD	ATM	PERMATA	PAYMENT			
TRF-BILL_P	BPJS VA KEL	ATM	BPJS VA	PAYMENT			
TRF-BILL_P	TLKM RIAU DR	ATM	TELKOM	PAYMENT			
TRF-BILL_P	GA-CITILINK	ATM	CITILINK	PURCHASE			
TRF-BILL_P	PLN PREPAID:500000	ATM	PLN PREPAID:500000	PURCHASE			
TRF-BILL_P	SULSELRABAR	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	POS PURCHASE	ATM		OTHERS			
TRF-BILL_P	H2H UNLAM	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	DOMPET DHUAFA KURB	ATM	QURBAN	PAYMENT			
TRF-BILL_P	INFAQ/SHODAQOH	ATM	INFAQ	PAYMENT			
TRF-BILL_P	STMM YGY	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	PLN BATAM	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PEGADAIAN	ATM	PEGADAIAN	PAYMENT			
TRF-BILL_P	ASTRA SF SYA	ATM	ACC	PAYMENT			
TRF-BILL_P	SIGNAL	ATM	?	?			
TRF-BILL_P	PJK KAB MANOKWARI	ATM	?	?			
TRF-BILL_P	MPN G2 SYARIAH IDR	ATM	MPN G2 SYARIAH IDR	PAYMENT			
TRF-BILL_P	PLN PAPUA	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	PBB PALU	ATM	?	?			
TRF-BILL_P	PLN NTB	ATM	PLN POSTPAID	PAYMENT			
TRF-BILL_P	SPC H2H IPB	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	INDOSAT PRABAYAR:1000000	ATM	INDOSAT	PURCHASE			
TRF-BILL_P	PBB DKI PUSAT	ATM	PBB DKI PUSAT	PAYMENT			
TRF-BILL_P	QURBAN	ATM	QURBAN	PAYMENT			
TRF-BILL_P	PP4 AMBON	ATM	PELINDO	PAYMENT			
TRF-BILL_P	PBB BENGKALIS	ATM	PBB BENGKALIS	PAYMENT			
TRF-BILL_P	SPC BENGKULU	ATM	SPC BENGKULU	PAYMENT			
TRF-BILL_P	WAKAF DD	ATM	WAKAF	PAYMENT			
TRF-BILL_P	LION AIR	ATM	LION AIR	PURCHASE			
TRF-BILL_P	PBB DKI SELATAN	ATM	PBB DKI SELATAN	PAYMENT			
TRF-BILL_P	PLN PREPAID:50000	ATM	PLN PREPAID:50000	PURCHASE			
TRF-BILL_P	H2H UNIBRAW	ATM	STUDENT PAYMENT CENTER	PAYMENT			
TRF-BILL_P	XL VOUCHER:200000	ATM	XL	PURCHASE			
